question,option 1,option 2,option 3,option 4,option 5,option 6,answer,media,explanation,media explanation
"A Londra un uomo travestito da Vincent Van Gogh è entrato nella sede di un’organizzazione ambientalista per gettare del minestrone contro gli attivisti climatici, in risposta a quanto avvenuto proprio a Londra ad Ottobre, dove gli ambientalisti lanciarono una zuppa contro il quadro ""I girasoli"" di Van Gogh.",Vero,Falso,,,,,2,,"Si tratta di una notizia diffusa tramite un sito di meme in lingua tedesca. La satira e la parodia, estrapolate dal contesto originale, possono essere scambiate per notizie vere.",
Il trend delle temperature medie globali non è cresciuto in modo evidente tra il 1998 e il 2012.,Vero,Falso,,,,,1,,"Il fenomeno avvenuto tra il 1998 e il 2012 prende il nome di ""hiatus"" o ""pausa"" nel riscaldamento globale. Il fatto che per 15 anni il trend non sia cresciuto come in altri periodi non vuole dire che il riscaldamento globale non sia un fenomeno reale. Trend su piccole finestre temporali non nascondo trend su larghe finestre temporali e il riscaldamento globale è un fenomeno troppo ampio per essere analizzato su finestre di 12 anni. ",Global_warming_hiatus.mp4
"Tra le due immagini, quale non è stata generata da un modello d'intelligenza artificale?",La prima,La seconda,,,,,1,1_face.jpg|2_face.jpg,"La seconda immagine è stata create da un modello di intelligenza artificiale specializzato nella generazione dei volti. L'angolo in alto a destra dell'immagine presenta un volto parziale deformato, degli artefatti e non rispetta la coerenza spaziale. ",
"Tra le due immagini, quale non è stata generata da un modello d'intelligenza artificale?",La prima,La seconda,,,,,2,8_face.jpg|7_face.jpg,La prima immagine è stata create da un modello di intelligenza artificiale specializzato nella generazione dei volti. I capelli della donna della foto sembrano quasi raddoppiati.,
La produzione del formaggio è più impattante di quella di maiale e di pollame sia per emissioni di gas serra di produzioni e di allevamenti che per superficie utilizzata.,Vero,Falso,,,,,1,,Per visualizzare le statistiche consultare il seguente sito: https://ourworldindata.org/environmental-impacts-of-food,"greenshouse_gas_emissions.jpg|land_use.jpg"
L'industria dei combustibili fossili ha finanziato scienziati per mettere in discussione il riscaldamento globale.,Vero,Falso,,,,,1,,"È stato ampiamente documentato che alcune aziende e gruppi dell'industria dei combustibili fossili hanno finanziato scienziati e organizzazioni che hanno cercato di mettere in discussione o minimizzare il riscaldamento globale e l'importanza delle attività umane nella causarlo. Questi attori, noti come ""mercanti del dubbio"", sono scienziati, gruppi di pressione e think tank finanziati da aziende, soprattutto dell'industria dei combustibili fossili, per seminare incertezza sulle evidenze scientifiche del cambiamento climatico. Seguendo tattiche simili a quelle usate dall'industria del tabacco, essi producono studi pseudoscientifici, diffondono messaggi fuorvianti e influenzano il dibattito politico per minimizzare i rischi ambientali, ritardare l'adozione di politiche climatiche e proteggere i propri interessi economici.",
"Tra le immagini, quale/i non è/sono stata/e generata/e da un modello d'intelligenza artificale?","L'uomo con capelli grigi pettinati di lato, orecchino all'orecchio sinistro",L'uomo con i capelli corti spettinati di colore scuro e la mano che tocca il mento,La ragazza con capelli castani e uno sguardo tranquillo,La donna giovane con lunghi capelli castani e un sorriso ampio,,,1|2,5_face.jpg|9_face.jpg|6_face.jpg|10_face.jpg,,
Ci sono deepfake nel video? ,L’uomo con la cravatta e giacca blu e la camicia viola al tavolo,Il ragazzo con la felpa blu e la t-shirt bianca al tavolo,La donna con i capelli rossi,Il cameraman,Tutti,Nessuno,2,Welcome to Chechnya.mp4,"Al ragazzo originale è stato sostituito il volto tramite face swapping per proteggere l'identità. La clip è estratta dal film ""Benvenuti in Cecenia"" di David France",deepfakefaceswap.mp4
Ci sono deepfake nel video? ,La ragazza bionda,La ragazza bruna,Entrambe,Nessuna,,,2,Fall.mp4,Alla ragazza è stato applicato tramite l'intelligenza artificiale una sostituzione del dialogo cambiando le parole della lingua e i movimenti delle labbra.,Flawless use of TrueSync on the movie.mp4
Quale dei seguenti file audio non è stato cantato dalla persona di cui senti la voce?,Il primo,Il secondo,Il terzo,,,,1,Voce 0.wav|Voce 1.wav|Voce 2.wav,La voce orginale era maschile ed è stata sotituita tramite un software di voice swapping con una voce femminile.,